,T5,T1,T4,T3,Timestamp
0,17.7,19.5,18.6,19.89,5000
1,17.7,19.5,18.7,19.9266666666667,5001
2,17.7,19.5,18.7,20.1333333333333,5002
3,17.7,19.5,18.73,20.46,5003
4,17.7,19.5,18.79,20.72666666666669,5004
5,17.7,19.6,18.89,20.86,5005
6,17.7,19.6,18.963333333333296,21.0,5006
7,17.6888888888889,19.7,19.033333333333296,21.1333333333333,5007
8,17.65,19.76,19.1,21.2675,5008
9,17.6611111111111,19.79,19.1,21.23,5009
10,17.6333333333333,19.8566666666667,19.1,21.115,5010
11,17.6222222222222,19.89,19.1,21.0,5011
12,17.6083333333333,19.963333333333296,19.1666666666667,21.0,5012
13,17.6041666666667,20.1,19.2,20.89,5013
14,17.6,20.1666666666667,19.2,20.865,5014
15,17.6,20.26,19.2,20.79,5015
16,17.6,20.26,19.2,21.29,5016
17,17.6,20.29,19.2,21.34,5017
18,17.7,20.365,19.2,21.6333333333333,5018
19,17.6,20.39,19.2,21.76,5019
20,17.6,20.4266666666667,19.1,21.88,5020
21,17.6,20.5,19.1666666666667,22.0,5021
22,17.6,20.533333333333296,19.2,22.033333333333296,5022
23,17.6,20.6,19.1333333333333,22.1,5023
24,17.6,20.7,19.2,22.0,5024
25,17.6,20.7,19.2,21.9266666666667,5025
26,17.6,20.7,19.1,21.76,5026
27,17.6,20.7,19.1,21.6333333333333,5027
28,17.6,20.7,19.1,21.56666666666669,5028
29,17.6,20.7,19.1,21.5,5029
30,17.6,20.73,19.1,21.445,5030
31,17.6,20.79,19.1,21.3566666666667,5031
32,17.6,20.76,19.06666666666669,21.29,5032
33,17.6,20.7,19.06666666666669,21.26,5033
34,17.6,20.7,19.0,21.2,5034
35,17.6,20.7,19.0,21.1,5035
36,17.6,20.79,19.0,21.1,5036
37,17.6,20.79,19.0,21.0,5037
38,17.6,20.79,19.0,21.0,5038
39,17.6,20.79,19.0,21.0,5039
40,17.6,20.79,19.0,21.0,5040
